attr4,attr5,class
con,con,cat
1,19,0
1,17,0
2,49,0
2,33,0
2,55,0
1,20,0
2,19,0
2,27,0
1,58,0
1,20,0
2,9,0
2,30,0
2,29,0
2,39,0
2,42,0
2,43,0
2,10,0
2,46,0
1,10,0
2,42,0
2,27,0
2,23,0
2,31,0
1,22,0
2,37,0
2,13,0
2,24,0
2,38,0
2,42,1
2,28,1
2,51,1
2,19,1
2,31,1
1,13,1
2,37,1
2,36,1
2,21,1
2,48,1
2,38,1
1,19,0
1,17,0
2,49,0
2,33,0
2,55,0
1,20,0
2,19,0
2,27,0
2,58,0
1,20,0
2,9,0
2,30,0
2,29,0
2,39,0
2,42,0
2,43,0
2,10,0
2,46,0
1,10,0
2,42,0
2,27,0
2,23,0
2,31,0
1,22,0
2,37,0
2,13,0
2,24,0
2,38,0
2,42,1
2,28,1
2,51,1
2,19,1
2,31,1
1,13,1
2,37,1
2,36,1
2,21,1
2,48,1
2,38,1
1,25,0
1,17,0
2,11,0
2,39,0
1,11,0
2,19,0
2,45,0
1,20,0
1,20,0
1,20,0
2,38,0
2,17,0
2,19,0
2,24,0
2,25,0
2,31,0
2,31,0
2,18,0
2,22,0
2,27,0
2,14,0
2,20,0
2,35,0
1,20,0
1,20,0
2,37,0
2,15,0
2,25,0
2,10,0
2,14,1
2,38,1
2,29,1
2,19,1
2,30,1
2,32,1
2,27,1
2,34,1
2,23,1
2,66,1
2,12,1
2,29,1
2,19,1
2,3,1
2,17,0
2,7,0
2,21,0
2,36,0
2,54,0
2,29,0
2,45,0
2,11,0
2,16,0
2,18,0
2,44,0
2,17,0
2,21,0
2,20,0
2,24,0
2,5,0
2,42,0
2,30,1
2,19,1
2,11,1
2,29,1
2,15,1
2,37,1
2,10,1
2,24,1
2,26,1
2,12,1
2,48,1
2,51,1
2,27,1